formula,param,seed,avg_edge_len,max_deg,n_edges
pow,0.3,34242,47.5029,6,99
pow,0.3,35242,55.2182,7,99
pow,0.3,36242,50.1294,10,99
pow,0.3,37242,47.3932,7,99
pow,0.3,38242,43.6523,7,99
pow,0.3,39242,47.6762,6,99
pow,0.3,40242,48.8546,7,99
pow,0.3,41242,50.0683,10,99
pow,0.3,42242,46.2422,7,99
pow,0.3,43242,52.6166,8,99
pow,0.3,44242,44.1396,11,99
pow,0.3,45242,48.3507,9,99
pow,0.3,46242,49.2953,7,99
pow,0.3,47242,47.4059,5,99
pow,0.3,48242,44.3485,8,99
pow,0.3,49242,45.4661,7,99
pow,0.9,243,43.7357,7,99
pow,0.9,1243,42.4325,8,99
pow,0.9,2243,39.3604,7,99
pow,0.9,3243,33.3821,7,99
pow,0.9,4243,43.2855,11,99
pow,0.9,5243,34.251,8,99
pow,0.9,6243,38.182,6,99
pow,0.9,7243,38.9698,7,99
pow,0.9,8243,40.2096,7,99
pow,0.9,9243,39.146,10,99
pow,0.9,10243,41.1364,6,99
pow,0.9,11243,47.2627,6,99
pow,0.9,12243,38.8146,7,99
pow,0.9,13243,38.2941,9,99
pow,0.9,14243,41.4595,9,99
pow,0.9,15243,40.9916,8,99
pow,0.9,16243,39.9804,6,99
pow,0.9,17243,35.1161,8,99
pow,0.9,18243,38.7182,6,99
pow,0.9,19243,45.2688,6,99
pow,0.9,20243,40.2257,5,99
pow,0.9,21243,42.2337,6,99
pow,0.9,22243,40.6286,6,99
pow,0.9,23243,41.0832,6,99
pow,0.9,24243,41.9957,9,99
pow,0.9,25243,38.7071,7,99
pow,0.9,26243,38.0857,10,99
pow,0.9,27243,38.3375,5,99
pow,0.9,28243,34.8714,9,99
pow,0.9,29243,40.7282,8,99
pow,0.9,30243,40.6262,6,99
pow,0.9,31243,36.2009,6,99
pow,0.9,32243,34.1686,6,99
pow,0.9,33243,42.5859,7,99
pow,0.9,34243,41.8028,6,99
pow,0.9,35243,36.1357,9,99
pow,0.9,36243,37.1127,5,99
pow,0.9,37243,37.39,6,99
pow,0.9,38243,38.332,7,99
pow,0.9,39243,39.7939,9,99
pow,0.9,40243,39.1142,8,99
pow,0.9,41243,40.475,8,99
pow,0.9,42243,44.0266,7,99
pow,0.9,43243,39.8538,6,99
pow,0.9,44243,36.572,7,99
pow,0.9,45243,38.0208,7,99
pow,0.9,46243,40.8547,10,99
pow,0.9,47243,39.6193,8,99
pow,0.9,48243,37.6327,9,99
pow,0.9,49243,39.6986,9,99
pow,1.6,244,31.8302,7,99
pow,1.6,1244,27.0536,10,99
pow,1.6,2244,30.065,6,99
pow,1.6,3244,30.4931,7,99
